"DateTime";"Sademäärä";"Keskilämpötila";"Alin lämpötila";"Ylin lämpötila";"Tavanomainen ylin lämpötila";"Tavanomainen ylin lämpötila";"Tavanomainen alin lämpötila";"Tavanomainen alin lämpötila";"Melko tavanomainen ylin lämpötila";"Melko tavanomainen ylin lämpötila";"Melko tavanomainen alin lämpötila";"Melko tavanomainen alin lämpötila"
"2015-10-02";0.3;12.5;9.8;16.1;10;12;2.8;5.9;7.1;14.3;-1;9
"2015-10-03";0.7;8.6;5.6;13.8;9.8;11.8;2.6;5.7;6.9;14;-1.2;8.9
"2015-10-04";0.2;8;1.2;13.5;9.6;11.6;2.5;5.6;6.6;13.8;-1.3;8.8
"2015-10-05";0.8;5.3;2.7;10.4;9.4;11.4;2.4;5.5;6.3;13.6;-1.5;8.6
"2015-10-06";1.7;2.2;-1.4;6.4;9.2;11.2;2.3;5.3;6.1;13.4;-1.6;8.5
"2015-10-07";0.9;1.6;-2;6.3;8.9;11;2.1;5.2;5.8;13.2;-1.7;8.3
"2015-10-08";0;1;-3.2;5.6;8.7;10.8;2;5.1;5.6;13;-1.9;8.2
"2015-10-09";0;2.1;-1.6;5.4;8.5;10.5;1.9;4.9;5.3;12.8;-2;8.1
"2015-10-10";0;3.1;1.8;5.6;8.3;10.3;1.8;4.8;5.1;12.5;-2.2;7.9
"2015-10-11";0.1;2.8;-1.8;7.5;8;10.1;1.7;4.6;4.8;12.3;-2.3;7.8
"2015-10-12";0.1;3.5;0.4;7.2;7.8;9.9;1.6;4.5;4.6;12.1;-2.5;7.6
"2015-10-13";0;3.4;-2.5;9.8;7.6;9.7;1.5;4.3;4.3;11.9;-2.6;7.4
"2015-10-14";0.1;5;1.8;9.4;7.3;9.5;1.3;4.2;4.1;11.7;-2.7;7.3
"2015-10-15";0.2;3.1;-1.2;8.2;7.1;9.2;1.2;4;3.8;11.4;-2.9;7.1
"2015-10-16";0;5.1;0.5;10.3;6.9;9;1.1;3.8;3.5;11.2;-3;7
"2015-10-17";0;4.1;0.5;8.3;6.7;8.8;1;3.7;3.3;11;-3.2;6.8
"2015-10-18";0;6.8;2.7;11.2;6.4;8.6;0.8;3.5;3.1;10.8;-3.3;6.7
"2015-10-19";0;4.2;1.6;7.9;6.2;8.4;0.7;3.4;2.8;10.6;-3.5;6.5
"2015-10-20";0;2.2;-2.8;5.3;5.9;8.2;0.6;3.2;2.6;10.4;-3.6;6.3
"2015-10-21";0;6.2;3.9;9;5.7;7.9;0.5;3;2.3;10.2;-3.8;6.2
"2015-10-22";7.8;6.7;4.4;7.8;5.5;7.7;0.4;2.8;2.1;10.1;-3.9;6
"2015-10-23";1;8.5;7.1;10.1;5.2;7.5;0.2;2.7;1.9;9.9;-4.1;5.8
"2015-10-24";0;5.7;4.1;9.4;5;7.3;0.1;2.5;1.6;9.7;-4.3;5.7
"2015-10-25";5.6;7.4;3.3;9;4.8;7.1;-0.1;2.3;1.4;9.5;-4.5;5.5
"2015-10-26";0.1;5.9;4.2;8.1;4.5;6.9;-0.2;2.2;1.1;9.3;-4.7;5.3
"2015-10-27";0.2;2.7;0.6;6.6;4.3;6.6;-0.4;2;0.9;9.1;-4.9;5.2
"2015-10-28";0;-0.5;-3.5;3.5;4.1;6.4;-0.5;1.8;0.7;8.9;-5.1;5
"2015-10-29";0;1.7;-2.4;5.4;3.8;6.2;-0.7;1.6;0.4;8.8;-5.3;4.9
"2015-10-30";0;0.9;-0.7;3.6;3.6;6;-0.9;1.4;0.2;8.6;-5.5;4.7
"2015-10-31";0;3.8;-3.1;7;3.3;5.7;-1;1.3;0;8.4;-5.7;4.5
