"DateTime";"Sademäärä";"Keskilämpötila";"Alin lämpötila";"Ylin lämpötila";"Tavanomainen ylin lämpötila";"Tavanomainen ylin lämpötila";"Tavanomainen alin lämpötila";"Tavanomainen alin lämpötila";"Melko tavanomainen ylin lämpötila";"Melko tavanomainen ylin lämpötila";"Melko tavanomainen alin lämpötila";"Melko tavanomainen alin lämpötila"
"2015-10-02";0;12.3;9.5;15;9.8;11.8;3.4;6.2;6.8;14;0;9.1
"2015-10-03";0;8.3;4.5;14.3;9.6;11.6;3.2;6.1;6.5;13.8;-0.1;9
"2015-10-04";0;8.3;2.6;13;9.3;11.3;3.1;6;6.3;13.6;-0.3;8.9
"2015-10-05";0;6.2;4.9;10.1;9.1;11.2;3;5.8;6;13.3;-0.4;8.7
"2015-10-06";0;4.2;2.5;5.9;8.9;10.9;2.8;5.7;5.8;13.1;-0.6;8.6
"2015-10-07";0;3.4;0.1;5.3;8.7;10.7;2.7;5.6;5.5;12.9;-0.7;8.4
"2015-10-08";0;3;-0.8;4.8;8.5;10.5;2.6;5.4;5.3;12.7;-0.9;8.3
"2015-10-09";0;3.7;2.2;5.4;8.3;10.3;2.5;5.3;5.1;12.5;-1;8.2
"2015-10-10";0;3.8;3;4.9;8.1;10.1;2.3;5.1;4.8;12.3;-1.2;8
"2015-10-11";0;4.1;0.2;6.5;7.8;9.9;2.2;5;4.6;12.1;-1.3;7.8
"2015-10-12";0;4.7;1.9;8.9;7.6;9.7;2.1;4.8;4.3;11.9;-1.5;7.7
"2015-10-13";0;5.3;3.7;9.3;7.4;9.4;2;4.7;4.1;11.6;-1.6;7.5
"2015-10-14";0;4.3;0.1;7.9;7.1;9.2;1.8;4.5;3.8;11.4;-1.8;7.3
"2015-10-15";0;4;1.1;6;6.9;9;1.7;4.3;3.6;11.2;-1.9;7.1
"2015-10-16";0;5.4;1.7;9.5;6.7;8.8;1.6;4.2;3.3;11;-2.1;7
"2015-10-17";0;4.8;1.7;8.2;6.4;8.6;1.5;4;3.1;10.8;-2.2;6.8
"2015-10-18";0;7.5;3.5;10.6;6.2;8.4;1.3;3.8;2.9;10.7;-2.4;6.7
"2015-10-19";0;3.5;-0.1;8.2;6;8.2;1.2;3.7;2.6;10.5;-2.5;6.5
"2015-10-20";0;2.2;-1.4;5;5.7;7.9;1;3.5;2.4;10.3;-2.7;6.3
"2015-10-21";0.1;4.7;2.5;7.8;5.5;7.7;0.9;3.3;2.2;10.1;-2.8;6.1
"2015-10-22";4.7;6;2.6;6.9;5.3;7.5;0.8;3.1;1.9;9.9;-3;5.9
"2015-10-23";0.8;7.2;6.1;8.3;5;7.3;0.6;2.9;1.7;9.7;-3.1;5.8
"2015-10-24";0;6;4.6;9.1;4.8;7.1;0.5;2.7;1.4;9.5;-3.3;5.6
"2015-10-25";5.1;6.7;4.2;8;4.6;6.9;0.3;2.5;1.2;9.3;-3.6;5.5
"2015-10-26";0.8;6.2;5.1;7.6;4.3;6.6;0.1;2.4;1;9.1;-3.8;5.3
"2015-10-27";0.6;2.8;1.2;5.9;4.1;6.4;0;2.2;0.8;9;-4;5.1
"2015-10-28";0;0.6;-1.3;3.2;3.9;6.2;-0.2;2;0.6;8.8;-4.2;4.9
"2015-10-29";0.1;3;0;5.1;3.6;6;-0.4;1.8;0.4;8.6;-4.4;4.8
"2015-10-30";0;-0.1;-2.6;4.5;3.4;5.7;-0.6;1.6;0.2;8.4;-4.6;4.6
"2015-10-31";0;3.1;-4.2;6.4;3.1;5.5;-0.8;1.4;-0.1;8.3;-4.9;4.4
