"DateTime";"Sademäärä";"Keskilämpötila";"Alin lämpötila";"Ylin lämpötila";"Tavanomainen ylin lämpötila";"Tavanomainen ylin lämpötila";"Tavanomainen alin lämpötila";"Tavanomainen alin lämpötila";"Melko tavanomainen ylin lämpötila";"Melko tavanomainen ylin lämpötila";"Melko tavanomainen alin lämpötila";"Melko tavanomainen alin lämpötila"
"2015-10-02";6.8;3.2;0.6;7;5.9;8.3;-0.7;2.1;3.5;11;-4.7;5.8
"2015-10-03";7.4;3.4;0.9;8;5.6;8.1;-0.8;2;3.2;10.7;-4.9;5.6
"2015-10-04";1.4;3.5;-0.1;7.3;5.4;7.8;-1;1.8;2.9;10.5;-5.1;5.5
"2015-10-05";0;0.8;-1.7;4.3;5.1;7.6;-1.1;1.7;2.6;10.3;-5.3;5.3
"2015-10-06";0;0.1;-3;4.6;4.9;7.3;-1.2;1.6;2.3;10.1;-5.6;5.2
"2015-10-07";0;-1.1;-5;4.2;4.6;7.1;-1.4;1.4;2;9.8;-5.8;5
"2015-10-08";0;-2;-5.9;3.4;4.3;6.9;-1.5;1.3;1.8;9.6;-6;4.9
"2015-10-09";0;-2.3;-6.3;3.5;4.1;6.7;-1.7;1.2;1.5;9.4;-6.3;4.7
"2015-10-10";0;-2.5;-5.5;1.8;3.9;6.4;-1.8;1;1.1;9.2;-6.6;4.6
"2015-10-11";0;-1.2;-5.5;4.3;3.6;6.2;-2;0.9;0.8;9;-6.9;4.4
"2015-10-12";0;0.9;-2.7;4.6;3.4;5.9;-2.2;0.7;0.5;8.8;-7.3;4.2
"2015-10-13";0;1.8;-0.7;4.7;3.1;5.7;-2.3;0.6;0.1;8.6;-7.6;4.1
"2015-10-14";0;2.1;-1.9;6.4;2.9;5.5;-2.5;0.4;-0.3;8.3;-7.9;3.9
"2015-10-15";0;4.6;1.7;7.3;2.6;5.2;-2.7;0.3;-0.6;8.1;-8.2;3.7
"2015-10-16";0.9;4.5;2.1;6.8;2.4;5;-2.9;0.1;-1;7.9;-8.5;3.5
"2015-10-17";0.5;4.6;1.2;8.9;2.2;4.8;-3.1;0;-1.3;7.7;-8.8;3.4
"2015-10-18";0;6.3;3.3;8.9;1.9;4.6;-3.2;-0.2;-1.6;7.5;-9.1;3.2
"2015-10-19";0.3;5.1;3.6;6.6;1.7;4.4;-3.4;-0.3;-2;7.3;-9.5;3
"2015-10-20";2.9;4.7;3.1;5.7;1.5;4.2;-3.7;-0.5;-2.3;7.1;-9.8;2.8
"2015-10-21";8.1;4.8;3.5;6;1.3;3.9;-3.9;-0.7;-2.7;6.9;-10.2;2.7
"2015-10-22";6.8;5.9;4.4;7.1;1.1;3.7;-4.1;-0.8;-3;6.7;-10.6;2.5
"2015-10-23";1.3;4.8;1.1;7.7;0.8;3.5;-4.3;-1;-3.4;6.4;-11;2.3
"2015-10-24";0.9;-1.1;-2.6;1.1;0.6;3.3;-4.5;-1.2;-3.7;6.2;-11.4;2.1
"2015-10-25";2.8;5.7;-0.6;7.3;0.4;3.1;-4.7;-1.4;-3.9;6;-11.7;1.9
"2015-10-26";1;1;-0.6;5;0.2;2.9;-5;-1.5;-4.2;5.8;-12;1.8
"2015-10-27";0;-2.2;-4.2;0.6;0;2.6;-5.2;-1.7;-4.5;5.7;-12.3;1.6
"2015-10-28";0;-3.7;-6.4;-0.4;-0.2;2.4;-5.5;-1.9;-4.7;5.4;-12.6;1.4
"2015-10-29";0;-2.4;-4.5;1;-0.5;2.2;-5.7;-2.1;-5;5.2;-13;1.3
"2015-10-30";0.7;-4.1;-6.4;-2.4;-0.7;2;-6;-2.3;-5.2;5;-13.3;1.1
"2015-10-31";5.4;1;-2.6;2.6;-0.9;1.8;-6.3;-2.5;-5.5;4.8;-13.6;0.9
